Rank,Mountain,MountainLink,Height,Drop,lat,lon,Range,Region,Country,Firstascent,MountainImgSrc
1,Mont Blanc / Monte Bianco,/wiki/Mont_Blanc,4808,4695,45.8325,6.864444444444444,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1786,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Mont-Blanc_from_Planpraz_station.jpg/280px-Mont-Blanc_from_Planpraz_station.jpg
2,Monte Rosa (Dufourspitze),/wiki/Monte_Rosa,4634,2165,45.93694444444444,7.866944444444445,I/B-09.III-A,Valais,CH,1855,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Dufourspitze_%28Monte_Rosa%29_and_Monte_Rosa_Glacier_as_seen_from_Gornergrat%2C_Wallis%2C_Switzerland%2C_2012_August.jpg/280px-Dufourspitze_%28Monte_Rosa%29_and_Monte_Rosa_Glacier_as_seen_from_Gornergrat%2C_Wallis%2C_Switzerland%2C_2012_August.jpg
3,Dom,/wiki/Dom_(mountain),4545,1046,46.09388888888889,7.858888888888888,I/B-09.V-A,Valais,CH,1858,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Dom_of_Mischabel.jpg/285px-Dom_of_Mischabel.jpg
4,Liskamm,/wiki/Liskamm,4527,376,45.92222222222222,7.835555555555556,I/B-09.III-A,Valais/Aosta,CH/IT,1861,Error
5,Weisshorn,/wiki/Weisshorn,4506,1235,46.10138888888889,7.715833333333333,I/B-09.II-D,Valais,CH,1861,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Alps.jpg/285px-Alps.jpg
6,Matterhorn / Monte Cervino,/wiki/Matterhorn,4478,1042,45.97638888888889,7.658611111111111,I/B-09.II-A,Valais/Aosta,CH/IT,1865,Error
7,Dent Blanche,/wiki/Dent_Blanche,4357,915,46.034166666666664,7.611944444444444,I/B-09.II-C,Valais,CH,1862,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/DentBlanche01.jpg/285px-DentBlanche01.jpg
8,Grand Combin,/wiki/Grand_Combin,4314,1517,45.9375,7.299166666666666,I/B-09.I-B,Valais,CH,1859,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Grand_Combin_north.jpg/285px-Grand_Combin_north.jpg
9,Finsteraarhorn,/wiki/Finsteraarhorn,4274,2280,46.53722222222222,8.126111111111111,I/B-12.II-A,Bern/Valais,CH,1829,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Finsteraarhorn_and_surrounding_mounts.jpg/285px-Finsteraarhorn_and_surrounding_mounts.jpg
10,Zinalrothorn,/wiki/Zinalrothorn,4221,490,46.065,7.690277777777778,I/B-09.II-D,Valais,CH,1864,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Zinalrothorn01.jpg/285px-Zinalrothorn01.jpg
11,Grandes Jorasses (Pointe Walker),/wiki/Grandes_Jorasses,4208,843,45.869166666666665,6.988333333333333,I/B-07.V-B,U-Savoy/Aosta,FR/IT,1868,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/GrandesJorasses.jpg/280px-GrandesJorasses.jpg
12,Alphubel,/wiki/Alphubel,4206,359,46.06305555555555,7.863888888888889,I/B-09.V-A,Valais,CH,1860,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Alphubel_from_Saas_Fee_2.JPG/285px-Alphubel_from_Saas_Fee_2.JPG
